Identifier,Identifier_Status,Announcement_Type,Announcement_Date,Issue,Issue_No,Status,Country,Maturity,Amt,Company,Company_No,Prev_Rating,Prev_Time,Curr_Rating,Curr_Time
28015,Valid,Others,,,,,,,,,,,,,
28089,Valid,Update,"May 24, 2004  ",,,,,,,,,,,,
28102,Valid,Others,,,,,,,,,,,,,
28134,Valid,Update,"May 25, 2004  ",,,,,,,,,,,,
28171,Valid,Others,,,,,,,,,,,,,
28174,Valid,Others,,,,,,,,,,,,,
28227,Valid,Others,,,,,,,,,,,,,
28228,Valid,Others,,,,,,,,,,,,,
28288,Valid,Others,,,,,,,,,,,,,
28391,Valid,Update,"May 31, 2004  ",,,,,,,,,,,,
28392,Valid,Update,"May 31, 2004  ",,,,,,,,,,,,
28469,Valid,Others,,,,,,,,,,,,,
28489,Valid,Others,,,,,,,,,,,,,
28553,Valid,Others,,,,,,,,,,,,,
28624,Valid,Others,,,,,,,,,,,,,
28627,Valid,Others,,,,,,,,,,,,,
28687,Valid,Update,"June 04, 2004  ",,,,,,,,,,,,
28713,Valid,Others,,,,,,,,,,,,,
28724,Valid,Others,,,,,,,,,,,,,
28822,Valid,Others,,,,,,,,,,,,,
29154,Valid,Others,,,,,,,,,,,,,
29614,Valid,Others,,,,,,,,,,,,,
29678,Valid,Others,,,,,,,,,,,,,
29718,Valid,Others,,,,,,,,,,,,,
29868,Valid,Update,"June 28, 2004  ",,,,,,,,,,,,
30035,Valid,Others,,,,,,,,,,,,,
30055,Valid,Others,,,,,,,,,,,,,
30165,Valid,Others,,,,,,,,,,,,,
30175,Valid,Others,,,,,,,,,,,,,
30210,Valid,Others,,,,,,,,,,,,,
30226,Valid,Others,,,,,,,,,,,,,
30296,Valid,Others,,,,,,,,,,,,,
30583,Valid,Others,,,,,,,,,,,,,
30794,Valid,Others,,,,,,,,,,,,,
30865,Valid,Others,,,,,,,,,,,,,
31014,Valid,Others,,,,,,,,,,,,,
31048,Valid,Others,,,,,,,,,,,,,
31073,Valid,Others,,,,,,,,,,,,,
31243,Valid,Others,,,,,,,,,,,,,
31245,Valid,Others,,,,,,,,,,,,,
31255,Valid,Others,,,,,,,,,,,,,
31317,Valid,Others,,,,,,,,,,,,,
31323,Valid,Others,,,,,,,,,,,,,
31356,Valid,Others,,,,,,,,,,,,,
31357,Valid,Others,,,,,,,,,,,,,
31359,Valid,Others,,,,,,,,,,,,,
31360,Valid,Others,,,,,,,,,,,,,
31364,Valid,Others,,,,,,,,,,,,,
31376,Valid,Others,,,,,,,,,,,,,
31598,Valid,Others,,,,,,,,,,,,,
31613,Valid,Others,,,,,,,,,,,,,
31913,Valid,Others,,,,,,,,,,,,,
31918,Valid,Others,,,,,,,,,,,,,
32907,Valid,Others,,,,,,,,,,,,,
33073,Valid,Others,,,,,,,,,,,,,
33087,Valid,Others,,,,,,,,,,,,,
33190,Valid,Update,"September 06, 2004  ",,,,,,,,,,,,
